country,year,cattle_in_tonnes
France,2002,1646277.0
France,2003,1632047.0
France,2004,1577971.0
France,2005,1546741.0
France,2006,1486675.0
France,2007,1502561.1
France,2008,1502901.1
France,2009,1515808.0
France,2010,1530257.8
France,2011,1566805.6
France,2012,1493864.7
France,2013,1400331.0
France,2014,1410854.0
France,2015,1447906.0
France,2016,1466098.9
France,2017,1432779.9
France,2018,1460000.0
France,2019,1428460.0
France,2020,1434590.0
France,2021,1424320.0
Germany,1990,2111968.0
Germany,1991,2180707.0
Germany,1992,1789700.0
Germany,1993,1570337.0
Germany,1994,1420300.0
Germany,1995,1407800.0
Germany,1996,1481800.0
Germany,1997,1447600.0
Germany,1998,1367000.0
Germany,1999,1374000.0
Germany,2000,1303500.0
Germany,2001,1361500.0
Germany,2002,1316375.0
Germany,2003,1226235.0
Germany,2004,1258000.0
Germany,2005,1166900.0
Germany,2006,1193180.0
Germany,2007,1185724.0
Germany,2008,1199431.0
Germany,2009,1189615.0
Germany,2010,1205002.0
Germany,2011,1170376.0
Germany,2012,1146255.0
Germany,2013,1116507.0
Germany,2014,1142603.0
Germany,2015,1132340.0
Germany,2016,1155483.0
Germany,2017,1137008.0
Germany,2018,1109000.0
Germany,2019,1107000.0
Germany,2020,1092000.0
Germany,2021,1080420.0
Greece,1990,79431.0
Greece,1991,79188.0
Greece,1992,75825.0
Greece,1993,72596.37
Greece,1994,70778.1
Greece,1995,72186.54
Greece,1996,70930.87
Greece,1997,72379.34
Greece,1998,73069.96
Greece,1999,71902.06
Greece,2000,70062.36
Greece,2001,74873.76
Greece,2002,73072.09
Greece,2003,74348.75
Greece,2004,77030.0
Greece,2005,72429.0
Greece,2006,72874.0
Greece,2007,75772.69
Greece,2008,72371.57
Greece,2009,73937.0
Greece,2010,71955.76
Greece,2011,69816.95
Greece,2012,69462.99
Greece,2013,68746.09
Greece,2014,49216.24
Greece,2015,39199.0
Greece,2016,39171.6
Greece,2017,41766.0
Greece,2018,39640.0
Greece,2019,33470.0
Greece,2020,34740.0
Greece,2021,33050.0
Hungary,1990,113800.0
Hungary,1991,122800.0
Hungary,1992,123200.0
Hungary,1993,97100.0
Hungary,1994,72100.0
Hungary,1995,57500.0
Hungary,1996,50200.0
Hungary,1997,55270.0
Hungary,1998,47020.0
Hungary,1999,50970.0
Hungary,2000,66940.0
Hungary,2001,51600.0
Hungary,2002,47620.0
Hungary,2003,39173.0
Hungary,2004,37513.0
Hungary,2005,32241.0
Hungary,2006,33303.0
Hungary,2007,34258.0
Hungary,2008,32121.0
Hungary,2009,30149.0
Hungary,2010,27598.0
Hungary,2011,26432.0
Hungary,2012,25394.0
Hungary,2013,23457.0
Hungary,2014,24080.0
Hungary,2015,27315.0
Hungary,2016,28939.0
Hungary,2017,28162.0
Hungary,2018,30180.0
Hungary,2019,30820.0
Hungary,2020,29150.0
Hungary,2021,30080.0
Ireland,1990,515000.0
Ireland,1991,557100.0
Ireland,1992,568200.0
Ireland,1993,528500.0
Ireland,1994,447800.0
Ireland,1995,481100.0
Ireland,1996,538400.0
Ireland,1997,569500.0
Ireland,1998,594800.0
Ireland,1999,643800.0
Ireland,2000,576900.0
Ireland,2001,579400.0
Ireland,2002,540000.0
Ireland,2003,568000.0
Ireland,2004,563600.0
Ireland,2005,546000.0
Ireland,2006,537300.0
Ireland,2007,580800.0
Ireland,2008,537300.0
Ireland,2009,514500.0
Ireland,2010,559100.0
Ireland,2011,547100.0
Ireland,2012,495400.0
Ireland,2013,517600.0
Ireland,2014,582100.0
Ireland,2015,564100.0
Ireland,2016,588400.0
Ireland,2017,617000.0
Ireland,2018,622540.0
Ireland,2019,619800.0
Ireland,2020,633380.0
Ireland,2021,594510.0
Italy,1990,1164855.0
Italy,1991,1181141.0
Italy,1992,1217170.0
Italy,1993,1187265.0
Italy,1994,1170832.0
Italy,1995,1180461.0
Italy,1996,1180537.0
Italy,1997,1159360.0
Italy,1998,1111280.0
Italy,1999,1164433.0
Italy,2000,1151935.0
Italy,2001,1133037.0
Italy,2002,1133800.0
Italy,2003,1126869.0
Italy,2004,1145103.0
Italy,2005,1101972.0
Italy,2006,1109214.0
Italy,2007,1118531.0
Italy,2008,1056912.0
Italy,2009,1049261.0
Italy,2010,1068900.0
Italy,2011,1000374.4
Italy,2012,957787.0
Italy,2013,842122.0
Italy,2014,694634.2
Italy,2015,771766.9
