country,date,averagetemperature,temperature_change
Belgium,2005-08-01,16.904999999999998,-0.173
Belgium,2005-09-01,16.448999999999998,1.97
Belgium,2005-10-01,13.622,3.274
Belgium,2005-11-01,5.912999999999999,0.472
Belgium,2005-12-01,2.782,-0.005
Belgium,2006-01-01,0.8340000000000001,-0.759
Belgium,2006-02-01,2.114,-0.339
Belgium,2006-03-01,4.215,-1.191
Belgium,2006-04-01,9.084,0.701
Belgium,2006-05-01,14.243,1.451
Belgium,2006-06-01,17.391000000000002,1.592
Belgium,2006-07-01,22.837,5.356
Belgium,2006-08-01,16.55,-0.366
Belgium,2006-09-01,18.334,3.677
Belgium,2006-10-01,13.763,3.46
Belgium,2006-11-01,8.607999999999999,2.976
Belgium,2006-12-01,5.17,2.664
Belgium,2007-01-01,6.408,4.693
Belgium,2007-02-01,6.21,3.712
Belgium,2007-03-01,7.599,2.199
Belgium,2007-04-01,13.377,4.716
Belgium,2007-05-01,14.834,2.094
Belgium,2007-06-01,17.605,2.025
Belgium,2007-07-01,17.387,0.295
Belgium,2007-08-01,17.209,0.236
Belgium,2007-09-01,13.968,-0.493
Belgium,2007-10-01,9.964,-0.084
Belgium,2007-11-01,6.0680000000000005,0.312
Belgium,2007-12-01,3.117,0.565
Belgium,2008-01-01,5.593999999999999,3.873
Belgium,2008-02-01,5.178,2.838
Belgium,2008-03-01,5.992999999999999,0.644
Belgium,2008-04-01,8.783999999999999,0.324
Belgium,2008-05-01,16.119999999999994,3.34
Belgium,2008-06-01,16.508,1.279
Belgium,2008-07-01,18.152,1.172
Belgium,2008-08-01,17.778,0.956
Belgium,2008-09-01,13.593,-0.94
Belgium,2008-10-01,9.966,-0.141
Belgium,2008-11-01,6.4380000000000015,0.94
Belgium,2008-12-01,1.955,-0.602
Belgium,2009-01-01,-0.1559999999999999,-1.678
Belgium,2009-02-01,3.012,0.448
Belgium,2009-03-01,6.260999999999999,0.83
Belgium,2009-04-01,12.158,3.798
Belgium,2009-05-01,14.416,1.746
Belgium,2009-06-01,16.291,0.495
Belgium,2009-07-01,18.702,1.422
Belgium,2009-08-01,19.306,2.242
Belgium,2009-09-01,15.642,1.288
Belgium,2009-10-01,10.568,0.229
Belgium,2009-11-01,9.142,3.485
Belgium,2009-12-01,2.2,-0.436
Belgium,2010-01-01,-0.7250000000000001,-2.423
Belgium,2010-02-01,2.073,-0.396
Belgium,2010-03-01,6.300999999999998,0.797
Belgium,2010-04-01,9.818,1.388
Belgium,2010-05-01,11.262,-1.22
Belgium,2010-06-01,17.252,1.517
Belgium,2010-07-01,20.389,3.135
Belgium,2010-08-01,17.259,0.354
Belgium,2010-09-01,14.09,-0.52
Belgium,2010-10-01,10.13,-0.101
Belgium,2010-11-01,5.855,0.476
Belgium,2010-12-01,-1.3630000000000002,-4.086
Belgium,2011-01-01,3.2030000000000003,1.515
Belgium,2011-02-01,4.731999999999998,1.963
Belgium,2011-03-01,7.236000000000001,1.846
Belgium,2011-04-01,13.412,4.719
Belgium,2011-05-01,14.922999999999998,2.19
Belgium,2011-06-01,16.836,1.245
Belgium,2011-07-01,16.230999999999998,-0.721
Belgium,2011-08-01,17.721,1.036
Belgium,2011-09-01,16.487000000000002,2.018
Belgium,2011-10-01,11.595999999999998,1.398
Belgium,2011-11-01,7.735,2.09
Belgium,2011-12-01,5.5520000000000005,2.739
Belgium,2012-01-01,4.425,2.82
Belgium,2012-02-01,0.1159999999999996,-2.219
Belgium,2012-03-01,8.578,3.261
Belgium,2012-04-01,8.408,0.288
Belgium,2012-05-01,14.479,2.072
Belgium,2012-06-01,15.300999999999998,0.279
Belgium,2012-07-01,17.617,0.439
Belgium,2012-08-01,19.277,2.252
Belgium,2012-09-01,14.538,0.079
Belgium,2012-10-01,10.501,0.245
Belgium,2012-11-01,6.582999999999999,1.104
Belgium,2012-12-01,4.399,1.562
Belgium,2013-01-01,1.65,0.243
Belgium,2013-02-01,1.208,-1.226
Belgium,2013-03-01,2.891,-2.503
Belgium,2013-04-01,8.742999999999999,0.496
Belgium,2013-05-01,11.659,-0.822
Belgium,2013-06-01,15.827,0.26
Belgium,2013-07-01,20.013,2.757
Belgium,2013-08-01,18.49,1.617
Bulgaria,2000-01-01,-3.0660000000000003,-2.536
Bulgaria,2000-02-01,3.04,1.557
Bulgaria,2000-03-01,5.684,0.97
Bulgaria,2000-04-01,12.795,2.888
Bulgaria,2000-05-01,16.349,1.328
Bulgaria,2000-06-01,20.154,1.162
Bulgaria,2000-07-01,23.247,2.048
Bulgaria,2000-08-01,22.844,1.827
Bulgaria,2000-09-01,16.945999999999998,0.042
Bulgaria,2000-10-01,11.71,0.513
Bulgaria,2000-11-01,9.4,2.739
Bulgaria,2000-12-01,3.779,1.908
Bulgaria,2001-01-01,2.447,3.178
Bulgaria,2001-02-01,3.325,2.197
Bulgaria,2001-03-01,9.528,5.023
Bulgaria,2001-04-01,10.086,0.083
Bulgaria,2001-05-01,15.591,0.546
Bulgaria,2001-06-01,18.569000000000003,-0.145
Bulgaria,2001-07-01,23.124,2.242
Bulgaria,2001-08-01,23.346,2.54
Bulgaria,2001-09-01,17.99,0.964
Bulgaria,2001-10-01,13.568,2.3
Bulgaria,2001-11-01,5.252999999999999,-1.293
Bulgaria,2001-12-01,-3.341,-5.04
Bulgaria,2002-01-01,-0.5680000000000001,0.097
Bulgaria,2002-02-01,6.176,5.145
Bulgaria,2002-03-01,7.967,3.292
Bulgaria,2002-04-01,9.395,-0.465
Bulgaria,2002-05-01,16.373,1.158
Bulgaria,2002-06-01,20.808000000000003,1.753
Bulgaria,2002-07-01,23.235000000000007,2.357
Bulgaria,2002-08-01,20.854,0.162
Bulgaria,2002-09-01,16.549,-0.331
Bulgaria,2002-10-01,11.713,0.407
Bulgaria,2002-11-01,8.081,1.467
Bulgaria,2002-12-01,-0.419,-2.237
Bulgaria,2003-01-01,1.144,1.598
Bulgaria,2003-02-01,-3.034,-4.328
Bulgaria,2003-03-01,3.159,-1.361
Bulgaria,2003-04-01,8.463,-1.4
Bulgaria,2003-05-01,18.09,3.045
Bulgaria,2003-06-01,21.642,2.753
Bulgaria,2003-07-01,22.228,1.302
Bulgaria,2003-08-01,23.607,2.849
Bulgaria,2003-09-01,16.31,-0.57
Bulgaria,2003-10-01,10.938,-0.477
Bulgaria,2003-11-01,7.500999999999999,0.734
Bulgaria,2003-12-01,1.388,-0.303
Bulgaria,2004-01-01,-1.39,-0.672
Bulgaria,2004-02-01,2.336,0.912
Bulgaria,2004-03-01,6.268,1.647
Bulgaria,2004-04-01,10.861,1.011
Bulgaria,2004-05-01,14.161,-0.877
Bulgaria,2004-06-01,19.051,0.265
Bulgaria,2004-07-01,21.302000000000003,0.462
Bulgaria,2004-08-01,20.948,0.289
Bulgaria,2004-09-01,17.398,0.489
Bulgaria,2004-10-01,13.393,2.15
Bulgaria,2004-11-01,7.343,0.581
Bulgaria,2004-12-01,3.229,1.417
Bulgaria,2005-01-01,1.874,2.26
Bulgaria,2005-02-01,-0.6559999999999999,-1.988
Bulgaria,2005-03-01,4.499,-0.225
